Date,Make,Type,YOM,Model,Price
2025-12-02,kia,heavy-duty,,Audi Q3 S line 2018,19650000
2025-12-02,kia,heavy-duty,,Audi A3 SEDAN S LINE TFSI 2018,17900000
2025-12-02,kia,heavy-duty,,Audi A3 Advance- 30 TFSI 2024,21000000
2025-12-02,kia,heavy-duty,,Audi Q3 2024,34900000
2025-12-02,kia,heavy-duty,,Audi Q3 S Line 2025,36990000
2025-12-02,kia,heavy-duty,,Audi A3 TFSI 2017,15750000
2025-12-02,kia,heavy-duty,,Audi A3 Sportback Advanced 2024,14000000
2025-12-02,kia,heavy-duty,,Audi A3 Sportback S-Line 2024,16000000
2025-12-02,kia,heavy-duty,,Audi A3 1800cc RS3 S-Line 2016,21790000
2025-12-02,kia,heavy-duty,,Audi A4 2011,12800000
2025-12-02,kia,heavy-duty,Engine: 1.0L TFSI | 999cc Turbocharged Petrol,Audi Q2 1.0 TFSI SPORT 2017,14200000
2025-12-02,kia,heavy-duty,,Audi A6 TDI 2014,17950000
2025-12-02,kia,heavy-duty,,Audi A3 2018,16500000
2025-12-02,kia,heavy-duty,,Audi Q7 Quattro 2018,32800000
2025-12-02,kia,heavy-duty,,Audi A3 Sportback S-LINE 2024,16200000
2025-12-02,kia,heavy-duty,,Audi Q2 Low mileage 2019,15500000
2025-12-02,kia,heavy-duty,,Audi A3 Advance 2024,17350000
2025-12-02,kia,heavy-duty,,Audi A3 30 TFSI Advanced 2023,17500000
2025-12-02,kia,heavy-duty,,Audi Q4 S Line Highest Spec 2023,34750000
2025-12-02,kia,heavy-duty,,Audi A4 2017,17000000
2025-12-02,kia,heavy-duty,,Audi A4 Full Option 2016,19500000
2025-12-02,kia,heavy-duty,,Audi A3 Advanced Tech PKG 2023,21500000
2025-12-02,kia,heavy-duty,,Audi A4L 2011,22000000
2025-12-02,audi,cars,,Audi A3 Advance- 30 TFSI 2024,21000000
2025-12-02,kia,heavy-duty,,Audi A4 40TFSI 2017,18500000
2025-12-02,kia,heavy-duty,,Audi Q7 Quattro TFSI 2016,36000000
2025-12-02,audi,cars,,Audi Q3 2024,34900000
2025-12-02,audi,cars,,Audi Q3 S line 2018,19650000
2025-12-02,audi,cars,,Audi A3 SEDAN S LINE TFSI 2018,17900000
2025-12-02,audi,cars,,Audi Q3 S Line 2025,36990000
2025-12-02,audi,cars,,Audi A3 TFSI 2017,15750000
2025-12-02,audi,cars,,Audi A3 Sportback Advanced 2024,14000000
2025-12-02,audi,cars,,Audi A3 1800cc RS3 S-Line 2016,21790000
2025-12-02,audi,cars,,Audi A3 Sportback S-Line 2024,16000000
2025-12-02,audi,cars,,Audi A4 2011,12800000
2025-12-02,audi,cars,Engine: 1.0L TFSI | 999cc Turbocharged Petrol,Audi Q2 1.0 TFSI SPORT 2017,14200000
2025-12-02,audi,cars,,Audi A3 2018,16500000
2025-12-02,audi,cars,,Audi A6 TDI 2014,17950000
2025-12-02,audi,cars,,Audi Q2 Low mileage 2019,15500000
2025-12-02,audi,cars,,Audi A3 Sportback S-LINE 2024,16200000
2025-12-02,audi,cars,,Audi Q7 Quattro 2018,32800000
2025-12-02,audi,cars,,Audi A3 30 TFSI Advanced 2023,17500000
2025-12-02,audi,cars,,Audi A3 Advance 2024,17350000
2025-12-02,audi,cars,,Audi Q4 S Line Highest Spec 2023,34750000
2025-12-02,audi,cars,,Audi A4 Full Option 2016,19500000
2025-12-02,audi,cars,,Audi A4 2017,17000000
2025-12-02,audi,cars,,Audi A3 Advanced Tech PKG 2023,21500000
2025-12-02,audi,cars,,Audi A4L 2011,22000000
2025-12-02,audi,cars,,Audi Q7 Quattro TFSI 2016,36000000
2025-12-02,audi,cars,,Audi A4 40TFSI 2017,18500000
2025-12-02,daihatsu,vans,2023,Daihatsu Hijet Safety 2023,7950000
2025-12-02,daihatsu,vans,1999,Daihatsu Hijet 1999,2750000
2025-12-02,daihatsu,vans,2018,Daihatsu Attrai 2018,5475000
2025-12-02,daihatsu,vans,1999,Daihatsu Hijet 1999,3375000
2025-12-02,daihatsu,vans,2015,Daihatsu Hijet 2015,5600000
2025-12-02,daihatsu,vans,1999,Daihatsu Hijet 1999,2800000
2025-12-02,daihatsu,vans,2023,Daihatsu Hijet Cargo 2023,7600000
2025-12-02,daihatsu,vans,2013,Daihatsu Hijet 2013,5200000
2025-12-02,daihatsu,vans,2017,Daihatsu Hijet 2017,4975000
2025-12-02,daihatsu,vans,2011,Daihatsu Hijet 2011,4300000
2025-12-02,daihatsu,vans,2006,Daihatsu Hijet S200 2006,3450000
2025-12-02,daihatsu,vans,2012,Daihatsu Hijet S320V 2012,4850000
2025-12-02,daihatsu,vans,2007,Daihatsu Hijet 2007,4375000
2025-12-02,daihatsu,vans,1999,Daihatsu Hijet 1999,2950000
2025-12-02,daihatsu,vans,1998,Daihatsu Hijet 1998,2650000
2025-12-02,daihatsu,vans,2000,Daihatsu Hijet 2000,2975000
2025-12-02,daihatsu,vans,2018,Daihatsu Attrai 2019 2018,5800000
2025-12-02,daihatsu,vans,2000,Daihatsu Hijet 2000,2950000
2025-12-02,daihatsu,vans,2007,Daihatsu Hijet S320V F/OPTION PD- 2007,4575000
2025-12-02,daihatsu,vans,2002,Daihatsu Hijet 2002,3355000
2025-12-02,daihatsu,vans,2018,Daihatsu Attrai 2018,5750000
2025-12-02,daihatsu,vans,2004,Daihatsu Hijet 2004,3700000
2025-12-02,daihatsu,vans,2007,Daihatsu Hijet 2007,4100000
2025-12-02,daihatsu,vans,2017,Daihatsu Hijet G Grade 2017,4900000
2025-12-02,daihatsu,vans,2019,Daihatsu Attrai Wagon 2019,6050000
2025-12-02,bmw,vans,,BMW 320d E90 2011,13500000
2025-12-02,bmw,vans,,BMW X5 eDrive M Sport 2015,24500000
2025-12-02,bmw,vans,,BMW 520d F10 2015,26800000
2025-12-02,bmw,vans,,BMW 740Le comfort plus 2016,43850000
2025-12-02,bmw,vans,,BMW X1 2018,18950000
2025-12-02,bmw,vans,,BMW 520d M Sport Sunroof 2015,28000000
2025-12-02,bmw,vans,,BMW 740Le M Sport 2017,43500000
2025-12-02,bmw,vans,,BMW X1 M Sport 2018,19500000
2025-12-02,bmw,vans,,BMW 320d 2011,12975000
2025-12-02,bmw,vans,,BMW 520d 3 Option 2013,17900000
2025-12-02,bmw,vans,,BMW X3 Diesal 2014,17500000
2025-12-02,bmw,vans,,BMW 320d Luxury Line Diesel 2014,21500000
2025-12-02,bmw,vans,,BMW X1 M Sport 1.5 1ST OWNE 2018,20000000
2025-12-02,bmw,vans,,BMW X5 M 4.4L V8 2016,57500000
2025-12-02,bmw,vans,,BMW X1 2019,20500000
2025-12-02,bmw,vans,,BMW 520d 2012,19500000
2025-12-02,bmw,vans,,BMW 523i M-Sport Pro Plus 2023,59500000
2025-12-02,bmw,vans,,BMW 318i Luxury Edition 2017,22000000
2025-12-02,bmw,vans,,BMW 740Le M Sport 2018,44000000
2025-12-02,bmw,vans,,BMW 318i M Sport 2018,21000000
2025-12-02,bmw,vans,,BMW 520i MHT M Sport Pro 2025,67900000
2025-12-02,bmw,vans,,BMW 520d F10 2012,19000000
2025-12-02,bmw,vans,,BMW 520i MHT M Sport Pro 2025,62000000
2025-12-02,bmw,vans,,BMW X1 Sunroof 2019,21500000
2025-12-02,bmw,vans,,"BMW 525i E39 43,000km Genuine 2003",111111111
2025-12-02,bmw,cars,,BMW 320d E90 2011,13500000
2025-12-02,bmw,cars,,BMW X5 eDrive M Sport 2015,24500000
2025-12-02,bmw,cars,,BMW 520d F10 2015,26800000
2025-12-02,bmw,cars,,BMW 740Le comfort plus 2016,43850000
2025-12-02,bmw,cars,,BMW X1 2018,18950000
2025-12-02,bmw,cars,,BMW 520d M Sport Sunroof 2015,28000000
