Date,Make,Year,Model,Transmission,Price,URL
2025-11-26,toyota,1986,Year 1986 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-axio-2015-207279
2025-11-26,toyota,1986,Year 1986 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-starlet-1986-207159
2025-11-26,toyota,1986,Year 1986 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-corolla-1997-207295
2025-11-26,toyota,1986,Year 1986 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-super-gl-2017-207307
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-premio-2013-207293
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-vios-2004-207312
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-lh113-1991-207304
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-premio-2019-207256
2025-11-26,toyota,2023,Year 2023 Condition Brand New,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-hilux-2025-207282
2025-11-26,toyota,2023,Year 2023 Condition Brand New,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-harrier-2023-207292
2025-11-26,toyota,2023,Year 2023 Condition Brand New,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-raize-2024-207105
2025-11-26,toyota,2023,Year 2023 Condition Brand New,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-harrier-2023-207292
2025-11-26,toyota,2004,Year 2004 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-aqua-2013-207221
2025-11-26,toyota,2004,Year 2004 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-vios-2004-207312
2025-11-26,toyota,2004,Year 2004 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-super-gl-2007-207275
2025-11-26,toyota,2004,Year 2004 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-hiace-2005-207281
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-axio-2015-207279
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-aqua-2015-207192
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-premio-2019-207256
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-lh113-1991-207304
2025-11-26,toyota,2007,Year 2007 Condition Used,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-aqua-2015-207192
2025-11-26,toyota,2007,Year 2007 Condition Used,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-super-gl-2007-207275
2025-11-26,toyota,2025,Year 2025 Condition Brand New,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-super-gl-2017-207307
2025-11-26,toyota,2025,Year 2025 Condition Brand New,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-corolla-1997-207295
2025-11-26,toyota,2025,Year 2025 Condition Brand New,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-hiace-2005-207281
2025-11-26,toyota,1986,Year 1986 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-hilux-2025-207282
2025-11-26,toyota,1986,Year 1986 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-premio-2013-207293
2025-11-26,toyota,1986,Year 1986 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-starlet-1986-207159
2025-11-26,toyota,2004,Year 2004 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-raize-2024-207105
2025-11-26,toyota,2004,Year 2004 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-vios-2004-207312
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-aqua-2013-207221
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-super-gl-2017-207307
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-harrier-2023-207292
2025-11-26,toyota,1991,Year 1991 Condition Used,Manual,,https://patpat.lk/en/ad/vehicle/toyota-lh113-1991-207304
2025-11-26,toyota,2025,Year 2025 Condition Brand New,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-corolla-1997-207295
2025-11-26,toyota,2025,Year 2025 Condition Brand New,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-premio-2013-207293
2025-11-26,toyota,2025,Year 2025 Condition Brand New,Automatic,,https://patpat.lk/en/ad/vehicle/toyota-aqua-2015-207192
