Date,Make,Year,Model,Transmission,Price
2025-11-27,toyota,2013,Fortuner,Automatic,18550000
2025-11-27,toyota,2007,Hiace,Automatic,19600000
2025-11-27,toyota,2014,Aqua,Automatic,9000000
2025-11-27,toyota,2023,Roomy,Automatic,9950000
2025-11-27,toyota,2012,Premio,Automatic,8700000
2025-11-27,toyota,2012,Premio,Automatic,12000000
2025-11-27,toyota,2012,Premio,Automatic,12100000
2025-11-27,toyota,2012,Premio,Automatic,20700000
2025-11-27,toyota,2007,Hilux,Automatic,7100000
2025-11-27,toyota,2007,Hilux,Automatic,15100000
2025-11-27,toyota,2007,Hilux,Automatic,14700000
2025-11-27,toyota,2007,Hilux,Automatic,10800000
2025-11-27,toyota,2012,Premio,Automatic,10800000
2025-11-27,toyota,2012,Premio,Automatic,12000000
2025-11-27,toyota,2012,Premio,Automatic,20400000
2025-11-27,toyota,2012,Premio,Automatic,12100000
2025-11-27,toyota,2006,Hiace,Automatic,20700000
2025-11-27,toyota,2006,Hiace,Automatic,20400000
2025-11-27,toyota,2006,Hiace,Automatic,18600000
2025-11-27,toyota,2014,Aqua,Automatic,10575000
2025-11-27,toyota,2014,Aqua,Automatic,9000000
2025-11-27,toyota,2014,Aqua,Automatic,10575000
2025-11-27,toyota,2014,Aqua,Automatic,18600000
2025-11-27,toyota,2012,Aqua,Automatic,9950000
2025-11-27,toyota,2012,Aqua,Automatic,15100000
2025-11-27,toyota,2012,Aqua,Automatic,19600000
2025-11-27,toyota,2008,Hiace,Automatic,7100000
2025-11-27,toyota,2012,Premio,Automatic,14700000
2025-11-27,toyota,2012,Premio,Automatic,8700000
2025-11-27,toyota,2012,Premio,Automatic,18550000
2025-11-27,toyota,2012,Premio,Automatic,12100000
2025-11-27,toyota,2023,Yaris,Automatic,10575000
2025-11-27,toyota,2023,Roomy,Automatic,9950000
2025-11-27,toyota,2007,Hiace,Automatic,19600000
2025-11-27,toyota,2016,Axio,Automatic,12000000
2025-11-27,toyota,2014,Aqua,Automatic,9000000
2025-11-27,toyota,2007,Hilux,Automatic,15100000
2025-11-27,toyota,2007,Hilux,Automatic,7100000
2025-11-27,toyota,2007,Hilux,Automatic,10800000
2025-11-27,toyota,2007,Hilux,Automatic,20400000
2025-11-27,toyota,2008,Hiace,Automatic,18600000
2025-11-27,toyota,2008,Hiace,Automatic,8700000
2025-11-27,toyota,2008,Hiace,Automatic,14700000
2025-11-27,toyota,2008,Hiace,Automatic,20700000
2025-11-27,toyota,2023,Yaris,Automatic,18550000
2025-11-27,toyota,2023,Yaris,Automatic,10575000
2025-11-27,toyota,2023,Yaris,Automatic,12100000
2025-11-27,toyota,2014,Aqua,Automatic,9950000
2025-11-27,toyota,2014,Aqua,Automatic,9000000
2025-11-27,toyota,2014,Aqua,Automatic,19600000
2025-11-27,toyota,2014,Aqua,Automatic,12000000
2025-11-27,toyota,2007,Hilux,Automatic,15100000
2025-11-27,toyota,2007,Hilux,Automatic,20400000
2025-11-27,toyota,2007,Hilux,Automatic,7100000
2025-11-27,toyota,2007,Hilux,Automatic,10800000
2025-11-27,toyota,2017,Vitz,Automatic,18600000
2025-11-27,toyota,2017,Vitz,Automatic,14700000
2025-11-27,toyota,2017,Vitz,Automatic,20700000
2025-11-27,toyota,2013,Fortuner,Automatic,8700000
2025-11-27,toyota,1994,LH113,Automatic,18550000
2025-11-27,toyota,1994,LH113,Automatic,6400000
2025-11-27,toyota,1994,LH113,Automatic,4700000
2025-11-27,toyota,1994,LH113,Automatic,0
2025-11-27,toyota,2015,Hiace,Automatic,0
2025-11-27,toyota,2013,Premio,Automatic,11700000
2025-11-27,toyota,2011,Hiace,Automatic,19700000
2025-11-27,toyota,2014,Axio,Automatic,0
2025-11-27,toyota,2001,Corolla,Automatic,0
2025-11-27,toyota,2025,Raize,Automatic,10375000
2025-11-27,toyota,2025,Raize,Automatic,5800000
2025-11-27,toyota,2025,Raize,Automatic,19500000
2025-11-27,toyota,2025,Raize,Automatic,15200000
2025-11-27,toyota,2023,Roomy,Automatic,0
2025-11-27,toyota,2023,Roomy,Automatic,9800000
2025-11-27,toyota,2023,Roomy,Automatic,15500000
2025-11-27,toyota,2015,Hiace,Automatic,4700000
2025-11-27,toyota,2015,Hiace,Automatic,6400000
2025-11-27,toyota,2015,Hiace,Automatic,0
2025-11-27,toyota,2001,Corolla,Automatic,0
2025-11-27,toyota,2014,Axio,Automatic,0
2025-11-27,toyota,2014,Axio,Automatic,11700000
2025-11-27,toyota,2014,Axio,Automatic,19700000
2025-11-27,toyota,2014,Axio,Automatic,0
2025-11-27,toyota,2025,Raize,Automatic,10375000
2025-11-27,toyota,2025,Raize,Automatic,19500000
2025-11-27,toyota,2025,Raize,Automatic,15200000
2025-11-27,toyota,2025,Raize,Automatic,5800000
2025-11-27,toyota,1998,Corolla,Automatic,15500000
2025-11-27,toyota,1998,Corolla,Automatic,0
2025-11-27,toyota,1998,Corolla,Automatic,9800000
2025-11-27,toyota,1998,Corolla,Automatic,4700000
2025-11-27,toyota,2013,Premio,Automatic,0
2025-11-27,toyota,2013,Premio,Automatic,11700000
2025-11-27,toyota,2013,Premio,Automatic,0
2025-11-27,toyota,2013,Premio,Automatic,6400000
2025-11-27,toyota,2011,Hiace,Automatic,19700000
2025-11-27,toyota,2001,Corolla,Automatic,0
