Date,Make,Type,YOM,Model,Price
2025-12-01,mazda,cars,2024,Mazda Flair Wagon Custom Style XT 2024 Car,9000000
2025-12-01,mazda,cars,1993,Mazda GLX 1993 Car,700000
2025-12-01,mazda,cars,1997,Mazda Familia 1997 Car,3280000
2025-12-01,mazda,cars,1995,Mazda Familia 1995 Car,2485000
2025-12-01,mazda,cars,1990,Mazda Familia 323 1990 Car,1685000
2025-12-01,mazda,cars,1997,Mazda BHA3P 1997 Car,2700000
2025-12-01,mazda,cars,1991,Mazda Familia 1991 Car,1900000
2025-12-01,mazda,cars,2001,Mazda Familia BJ5P 2001 Car,0
2025-12-01,mazda,cars,1992,Mazda Bg5P 1992 Car,0
2025-12-01,mazda,cars,1992,Mazda Astina 1992 Car,3475000
2025-11-30,mazda,cars,2000,Mazda FAMILIA 2000 Car,3775000
2025-11-30,mazda,cars,1997,Mazda FAMILIA BUTTERFLY 1997 Car,2950000
2025-11-30,mazda,cars,2018,Mazda Flair 2018 Car,6450000
2025-11-30,mazda,cars,1993,Mazda Mr 90 1993 Car,790000
2025-11-29,mazda,cars,1986,Mazda Familia 1986 Car,820000
2025-11-29,mazda,cars,1989,Mazda Familia Wagon 1989 Car,1150000
2025-11-29,mazda,cars,1997,Mazda BHA3 1997 Car,2995000
2025-11-29,mazda,cars,1999,Mazda Demio 1999 Car,2850000
2025-11-28,mazda,cars,1985,Mazda BF3P 1985 Car,1350000
2025-11-28,mazda,cars,1997,Mazda Familia 1997 Car,0
2025-11-28,mazda,cars,2004,Mazda DBA-BK5P 2004 Car,0
2025-11-28,mazda,cars,2015,Mazda 6 SkyActive 2015 Car,13450000
2025-11-28,mazda,cars,1986,Mazda Familia BF3P 1986 Car,1450000
2025-11-28,mazda,cars,1984,Mazda MR 90 1984 Car,1525000
2025-11-28,mazda,cars,1999,Mazda Millenia 1999 Car,3350000
2025-11-28,mazda,cars,2001,Mazda Familia 2001 Car,3985000
2025-11-27,mazda,cars,1990,Mazda Familia 323 1990 Car,1450000
2025-11-27,mazda,cars,1991,Mazda FAMILIA 1991 Car,1850000
2025-11-27,mazda,cars,1990,Mazda Astina 1990 Car,2775000
2025-11-27,mazda,cars,2017,Mazda Flair 2017 Car,5650000
2025-11-27,mazda,cars,1990,Mazda Familia Sport 1990 Car,1450000
2025-11-27,mazda,cars,2007,Mazda Demio 2007 Car,4850000
2025-11-27,mazda,cars,2015,Mazda Crossover G Grade 2015 Car,6180000
2025-11-27,mazda,cars,2006,Mazda BJ5p 2006 Car,3950000
2025-11-26,mazda,cars,2016,Mazda 2 Skyactiv 2016 Car,8700000
2025-11-27,mazda,cars,2015,Mazda Familia 2015 Car,0
2025-11-26,mazda,cars,2009,Mazda Demio 2009 Car,5300000
2025-11-26,mazda,cars,2015,Mazda Axela Skyactiv 2015 Car,5900000
2025-11-26,mazda,cars,1986,Mazda Familia 1986 Car,0
