Source,Date,Make,Type,YOM,Model,Price,URL
Ikman,2025-12-05,Toyota,cars,2025,Yaris,10450000,https://ikman.lk/en/ad/toyota-yaris-x-2025-for-sale-colombo-30
Ikman,2025-12-05,Toyota,cars,2017,Land Cruiser Prado,41500000,https://ikman.lk/en/ad/toyota-land-cruiser-prado-2017-for-sale-colombo-395
Ikman,2025-12-05,Toyota,cars,2012,Harrier,14000000,https://ikman.lk/en/ad/toyota-harrier-2012-for-sale-gampaha-2
Ikman,2025-12-05,Toyota,cars,2015,Land Cruiser Prado,41000000,https://ikman.lk/en/ad/toyota-land-cruiser-prado-tx-2015-for-sale-colombo-200
Ikman,2025-12-05,Toyota,cars,2024,Hilux,24800000,https://ikman.lk/en/ad/toyota-hilux-gr-sport-2024-for-sale-kandy-10
Patpat,2025-12-06,toyota,cars,2015,passo,6300000,https://patpat.lk/en/ad/vehicle/toyota-passo-2015-202093
Ikman,2025-12-05,Toyota,cars,2025,Hilux,27500000,https://ikman.lk/en/ad/toyota-hilux-rocco-2025-for-sale-colombo-185
Patpat,2025-12-06,toyota,cars,1994,ae100,2775000,https://patpat.lk/en/ad/vehicle/toyota-ae100-1994-198005
Ikman,2025-12-05,Toyota,cars,2025,Raize,14285000,https://ikman.lk/en/ad/toyota-raize-z-1200cc-hybrid-2025-for-sale-gampaha-8
Ikman,2025-12-05,Toyota,cars,2023,Hilux,24950000,https://ikman.lk/en/ad/toyota-hilux-gr-sport-24-diesel-2023-for-sale-colombo-6
Patpat,2025-12-06,toyota,cars,2015,passo,6300000,https://patpat.lk/en/ad/vehicle/toyota-passo-2015-202093
Riyasewana,2025-12-06,toyota,cars,,Toyota Aqua 2013 Car,0,https://riyasewana.com/buy/toyota-aqua-sale-bandarawela-10825675
Riyasewana,2025-12-06,toyota,cars,,Toyota Passo 2015 Car,6300000,https://riyasewana.com/buy/toyota-passo-sale-homagama-10838979
Ikman,2025-12-05,Toyota,cars,2023,Corolla,15990000,https://ikman.lk/en/ad/toyota-corolla-g-superior-2023-for-sale-colombo-1
Riyasewana,2025-12-06,toyota,cars,,,0,https://riyasewana.com/buy/toyota-aqua-sale-bandarawela-10825675
Ikman,2025-12-05,Toyota,cars,2024,Land Cruiser Sahara,91750000,https://ikman.lk/en/ad/toyota-land-cruiser-sahara-zx-lc-300-2024-for-sale-colombo-3
Ikman,2025-12-05,Toyota,cars,2017,Land Cruiser Prado,38500000,https://ikman.lk/en/ad/toyota-land-cruiser-prado-2017-for-sale-colombo-394
Patpat,2025-12-06,toyota,cars,1994,ae100,2775000,https://patpat.lk/en/ad/vehicle/toyota-ae100-1994-198005
Patpat,2025-12-06,toyota,cars,1998,starlet,4450000,https://patpat.lk/en/ad/vehicle/toyota-starlet-1998-211783
Patpat,2025-12-06,toyota,cars,1998,starlet,4450000,https://patpat.lk/en/ad/vehicle/toyota-starlet-1998-211783
Ikman,2025-12-05,Toyota,cars,2025,Urban Cruiser,17450000,https://ikman.lk/en/ad/toyota-urban-cruiser-hyryder-v-brand-new-2025-for-sale-colombo-4
Ikman,2025-12-05,Toyota,cars,2022,Land Cruiser Prado,52800000,https://ikman.lk/en/ad/toyota-land-cruiser-prado-trj150-tx-limited-2022-for-sale-colombo-11
Ikman,2025-12-05,Toyota,cars,2025,Pixis,7850000,https://ikman.lk/en/ad/toyota-pixis-g-2025-for-sale-gampaha-1
Ikman,2025-12-05,Toyota,cars,2023,Land Cruiser Prado,53800000,https://ikman.lk/en/ad/toyota-land-cruiser-prado-trj150-tx-limited-2023-for-sale-colombo-15
